generation,n_feasible,Cost_min,Cost_mean,Emissions_min,Emissions_mean
176,20,240996.861645829,338393.18707214,38191.06842241089,140522.970713483
177,20,240996.861645829,341471.1859763445,38191.06842241089,136055.38887043437
178,20,240996.861645829,349810.4769619469,38191.06842241089,128454.13366971716
179,20,240996.861645829,338376.26846949477,38191.06842241089,141018.9008642119
180,20,240996.861645829,343687.8086097356,38191.06842241089,134827.25179065065
181,20,240996.861645829,337448.406349323,38191.06842241089,142371.23232636423
182,20,240996.861645829,334386.487716613,38191.06842241089,146815.15031235726
183,20,240996.861645829,344680.8346410937,38191.06842241089,138294.63630568288
184,20,240996.861645829,348710.63741329766,38191.06842241089,130206.60638040635
185,20,240996.861645829,343685.1150277259,38191.06842241089,138934.301739747
186,20,240996.861645829,339645.1646736947,38191.06842241089,140849.22513481037
187,20,240996.861645829,339645.1646736947,38191.06842241089,140849.22513481037
188,20,240996.861645829,339874.1876088262,38191.06842241089,140561.76220040393
189,20,240996.861645829,339726.97326436656,38191.06842241089,140068.4765973508
190,20,240996.861645829,339315.20354124013,38191.06842241089,140270.66322708852
191,20,240996.861645829,337872.549866251,38191.06842241089,140252.5659934633
192,20,240996.861645829,338648.0341421318,38191.06842241089,139151.1390190949
193,20,240996.861645829,336368.8395201248,38191.06842241089,142183.73381783674
194,20,240996.861645829,340166.8106195942,38191.06842241089,137315.44908635586
195,20,240996.861645829,337520.0172429074,38191.06842241089,140670.02271267268
196,20,240996.861645829,341080.4190793357,38191.06842241089,135553.8044639812
197,20,240996.861645829,340979.92920287343,38191.06842241089,135857.66770728442
198,20,240996.861645829,343239.3912777723,38191.06842241089,133455.908995228
199,20,240996.861645829,339363.32342229586,38191.06842241089,137972.98894833724
200,20,240996.861645829,338737.5026591151,38191.06842241089,138560.9626785672
201,20,240996.861645829,340821.31970385835,38191.06842241089,136319.35035161677
202,20,240996.861645829,346178.6153567971,38191.06842241089,134706.21643551887
203,20,240996.861645829,337081.7272958172,38191.06842241089,144244.24670848539
204,20,240996.861645829,337081.7272958172,38191.06842241089,144244.24670848539
205,20,240996.861645829,341849.4370421351,38191.06842241089,135686.00760978035
206,20,240996.861645829,341849.4370421351,38191.06842241089,135686.00760978032
207,20,240996.861645829,341140.1151879361,38191.06842241089,136712.13254727592
208,20,240996.861645829,341800.6074227948,38191.06842241089,136590.8687997397
209,20,240996.861645829,345572.6201933024,38191.06842241089,130848.60617504685
210,20,240996.861645829,340766.4000571575,38191.06842241089,136167.10515880457
211,20,240996.861645829,347179.0383518724,38191.06842241089,134029.60360480746
212,20,240996.861645829,341902.93867184874,38191.06842241089,138800.48353836927
213,20,240996.861645829,341721.07582276885,38191.06842241089,139870.03995484413
214,20,240996.861645829,335763.4317409278,38191.06842241089,145037.611005363
215,20,240996.861645829,335419.48965672805,38191.06842241089,145796.3435104819
216,20,240996.861645829,335419.48965672805,38191.06842241089,145796.34351048194
217,20,240996.861645829,340563.7263207069,38191.06842241089,140214.5432820916
218,20,240996.861645829,337565.2130874075,38191.06842241089,140808.50827668273
219,20,240996.861645829,337565.21308740764,38191.06842241089,140808.50827668275
220,20,240996.861645829,343014.2816780792,38191.06842241089,132643.95237949764
221,20,240996.861645829,349306.4149548889,38191.06842241089,130696.08557402459
222,20,240996.861645829,341082.7442399906,38191.06842241089,137162.64530251065
223,20,240996.861645829,341082.7442399906,38191.06842241089,137162.64530251065
